DEPARTAMEN,PROVINCIA,DISTRITO,mean,min,max,std,amplitud_p90_p10,CLASE_P10_P90
PASCO,OXAPAMPA,PUERTO BERMUDEZ,19.077271468996063,15.659008026123047,21.728660583496094,1.7006582915613349,4.437222671508788,INTERMEDIO (p10–p90)
HUANUCO,PACHITEA,PANAO,7.351747824928977,3.181156873703003,14.62253189086914,2.540046021930969,6.458115959167482,INTERMEDIO (p10–p90)
HUANUCO,PACHITEA,UMARI,11.56036631266276,8.810150146484375,12.889485359191895,1.3844826385850668,2.9215950965881348,INTERMEDIO (p10–p90)
CAJAMARCA,SANTA CRUZ,YAUYUCAN,10.930401802062988,10.930401802062988,10.930401802062988,0.0,0.0,INTERMEDIO (p10–p90)
CAJAMARCA,SANTA CRUZ,ANDABAMBA,10.370187759399414,10.370187759399414,10.370187759399414,0.0,0.0,INTERMEDIO (p10–p90)
SAN MARTIN,SAN MARTIN,SAUCE,19.666903177897137,19.343303680419922,20.057952880859375,0.29562689203107395,0.5717193603515618,CÁLIDO (≥ p90)
CAJAMARCA,SANTA CRUZ,NINABAMBA,9.416168212890625,9.416168212890625,9.416168212890625,0.0,0.0,INTERMEDIO (p10–p90)
SAN MARTIN,SAN MARTIN,ALBERTO LEVEAU,21.1695613861084,21.018526077270508,21.32059669494629,0.15103530883789062,0.24165649414062784,CÁLIDO (≥ p90)
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,7.841177622477214,5.647436618804932,10.359509468078613,1.4879039510374474,4.010045099258423,INTERMEDIO (p10–p90)
CAJAMARCA,SANTA CRUZ,PULAN,9.732228088378907,8.04057788848877,11.421746253967285,1.138013070909164,2.5179004669189453,INTERMEDIO (p10–p90)
CAJAMARCA,SANTA CRUZ,SAUCEPAMPA,11.465031623840332,11.465031623840332,11.465031623840332,0.0,0.0,INTERMEDIO (p10–p90)
CAJAMARCA,HUALGAYOC,HUALGAYOC,6.560758318219866,5.170058727264404,8.242283821105957,0.9504511171534017,2.073377323150635,INTERMEDIO (p10–p90)
LA LIBERTAD,GRAN CHIMU,LUCMA,15.459414672851562,10.934754371643066,18.214391708374023,2.3345516520966103,5.368386173248291,INTERMEDIO (p10–p90)
LA LIBERTAD,GRAN CHIMU,SAYAPULLO,12.491753714425224,9.121024131774902,15.699989318847656,1.9869156243702712,4.685622596740723,INTERMEDIO (p10–p90)
LA LIBERTAD,SANCHEZ CARRION,SARTIMBAMBA,13.081596961388222,7.5915985107421875,18.104379653930664,3.555741012653731,9.788260078430177,INTERMEDIO (p10–p90)
CAJAMARCA,CAJABAMBA,CONDEBAMBA,13.370112827845983,11.730765342712402,14.570759773254395,0.9375509744238109,2.2626823425292972,INTERMEDIO (p10–p90)
LA LIBERTAD,BOLIVAR,CONDORMARCA,10.409047444661459,6.4434123039245605,16.907663345336914,3.3923180940531816,7.557310581207275,INTERMEDIO (p10–p90)
SAN MARTIN,MARISCAL CACERES,CAMPANILLA,18.555276804956897,13.412211418151855,22.123674392700195,2.419911440466989,6.246478748321534,INTERMEDIO (p10–p90)
AMAZONAS,LUYA,SANTA CATALINA,13.865914481026786,11.134017944335938,16.180137634277344,1.6716923051286896,3.8856424331665043,INTERMEDIO (p10–p90)
AMAZONAS,LUYA,SAN JERONIMO,14.313362121582031,10.224482536315918,17.40749168395996,2.6814699773360204,6.426078796386719,INTERMEDIO (p10–p90)
AMAZONAS,UTCUBAMBA,JAMALCA,14.911488342285157,11.68305492401123,18.343530654907227,2.1891215854116313,5.398544883728029,INTERMEDIO (p10–p90)
CAJAMARCA,JAEN,BELLAVISTA,19.873185782596984,16.546472549438477,21.316930770874023,1.0262091836619212,2.063309860229495,CÁLIDO (≥ p90)
CAJAMARCA,JAEN,SAN JOSE DEL ALTO,14.627010947779604,10.17412281036377,17.773597717285156,1.9921913005627931,4.968437385559083,INTERMEDIO (p10–p90)
CAJAMARCA,SAN IGNACIO,LA COIPA,15.963292902166193,14.15126895904541,18.40754508972168,1.0775528073751306,2.0258235931396484,INTERMEDIO (p10–p90)
PUNO,LAMPA,PARATIA,-3.724840897780198,-4.469860076904297,-2.4424943923950195,0.5299544544644834,1.3254570960998535,FRÍO (≤ p10)
LIMA,HUAROCHIRI,SAN JUAN DE TANTARANCHE,0.5923081239064535,-0.2026391476392746,1.0524379014968872,0.5644358070971585,1.0040616393089294,FRÍO (≤ p10)
JUNIN,CONCEPCION,CONCEPCION,5.122627258300781,5.122627258300781,5.122627258300781,0.0,0.0,INTERMEDIO (p10–p90)
LIMA,HUAROCHIRI,HUAROCHIRI,1.7257099151611328,0.3555624783039093,3.3688271045684814,0.8348773113505903,1.7347449392080305,INTERMEDIO (p10–p90)
HUANCAVELICA,CHURCAMPA,COSME,6.367220560709636,3.9081871509552,7.599691867828369,1.7388009287678718,2.953203773498535,INTERMEDIO (p10–p90)
HUANCAVELICA,HUANCAVELICA,CONAYCA,2.503058433532715,1.2752996683120728,3.7308170795440674,1.2277587056159989,1.9644139289855955,INTERMEDIO (p10–p90)
LIMA,CANETE,SANTA CRUZ DE FLORES,16.281455993652344,16.262983322143555,16.299928665161133,0.018472671508789062,0.0295562744140625,INTERMEDIO (p10–p90)
HUANCAVELICA,HUANCAVELICA,IZCUCHACA,,,,,,
HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,0.45203927159309387,-0.3942461907863617,1.2323932647705078,0.49107800435726506,1.147588513419032,FRÍO (≤ p10)
HUANCAVELICA,HUAYTARA,HUAYACUNDO ARMA,4.833097457885742,4.833097457885742,4.833097457885742,0.0,0.0,INTERMEDIO (p10–p90)
CUSCO,CUSCO,SANTIAGO,2.8199808597564697,2.8199808597564697,2.8199808597564697,0.0,0.0,INTERMEDIO (p10–p90)
APURIMAC,ANDAHUAYLAS,KISHUARA,6.167906019422743,2.6626341342926025,10.774130821228027,2.834078883692128,6.538909482955932,INTERMEDIO (p10–p90)
HUANCAVELICA,HUAYTARA,SANTO DOMINGO DE CAPILLAS,4.173922061920166,0.4389093816280365,10.958991050720215,3.177327922449313,6.85599361360073,INTERMEDIO (p10–p90)
CUSCO,CUSCO,WANCHAQ,4.66439151763916,4.66439151763916,4.66439151763916,0.0,0.0,INTERMEDIO (p10–p90)
HUANCAVELICA,HUAYTARA,HUAYTARA,7.540269704965445,2.492105484008789,11.415528297424316,2.7751865621206147,6.986367893218993,INTERMEDIO (p10–p90)
CUSCO,QUISPICANCHI,OCONGATE,-0.2021926244099935,-3.6040754318237305,3.4637680053710938,1.7156720365697753,4.211472082138062,FRÍO (≤ p10)
JUNIN,CHUPACA,YANACANCHA,-0.1090861988067627,-1.2403775453567505,1.6313058137893677,0.7757107482103622,1.9356595993041994,FRÍO (≤ p10)
JUNIN,CHUPACA,TRES DE DICIEMBRE,4.848428249359131,4.848428249359131,4.848428249359131,0.0,0.0,INTERMEDIO (p10–p90)
JUNIN,HUANCAYO,HUANCAN,,,,,,
LIMA,LIMA,SAN ISIDRO,,,,,,
LIMA,LIMA,MAGDALENA DEL MAR,,,,,,
JUNIN,CHUPACA,SAN JUAN DE ISCOS,2.9961936473846436,2.9961936473846436,2.9961936473846436,0.0,0.0,INTERMEDIO (p10–p90)
LIMA,LIMA,SAN BORJA,,,,,,
LIMA,LIMA,LINCE,,,,,,
LIMA,LIMA,SANTIAGO DE SURCO,,,,,,
HUANCAVELICA,TAYACAJA,SALCABAMBA,8.618014017740885,5.03154993057251,11.87151050567627,2.6863815898487537,6.539475679397583,INTERMEDIO (p10–p90)
LIMA,YAUYOS,VITIS,0.23071936766306558,-0.467195063829422,1.265929937362671,0.7466623862511076,1.3865000009536743,FRÍO (≤ p10)
LIMA,LIMA,PUEBLO LIBRE,17.48885726928711,17.48885726928711,17.48885726928711,0.0,0.0,INTERMEDIO (p10–p90)
CALLAO,CALLAO,LA PUNTA,,,,,,
SAN MARTIN,MOYOBAMBA,JEPELACIO,17.320335975060097,15.852961540222168,18.6319522857666,0.8177430914763246,2.2238716125488303,INTERMEDIO (p10–p90)
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,14.582636515299479,14.251396179199219,14.909378051757812,0.26863881024229297,0.5263854980468761,INTERMEDIO (p10–p90)
LAMBAYEQUE,LAMBAYEQUE,PACORA,18.184734344482422,18.018205642700195,18.35126304626465,0.16652870178222656,0.26644592285155966,INTERMEDIO (p10–p90)
AMAZONAS,CHACHAPOYAS,LA JALCA,10.03731918334961,8.735208511352539,11.321747779846191,1.0326802034531604,2.2175854682922367,INTERMEDIO (p10–p90)
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,12.277381533668155,7.500769138336182,15.676148414611816,2.1818647013786507,5.286408424377441,INTERMEDIO (p10–p90)
LORETO,MAYNAS,SAN JUAN BAUTISTA,22.59016159345519,22.478775024414062,22.96143341064453,0.08638232210551404,0.16730785369873047,CÁLIDO (≥ p90)
LORETO,MAYNAS,IQUITOS,22.72259521484375,22.564741134643555,22.84709358215332,0.07944825166299316,0.19986991882323935,CÁLIDO (≥ p90)
TUMBES,TUMBES,PAMPAS DE HOSPITAL,20.68083655315897,19.53544044494629,22.35036277770996,0.8387627007657801,2.036317062377929,CÁLIDO (≥ p90)
TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,21.718854037198152,21.358604431152344,21.969314575195312,0.16801906631338548,0.38925151824951243,CÁLIDO (≥ p90)
TUMBES,TUMBES,SAN JACINTO,20.854700991981908,17.664609909057617,22.5376033782959,1.430363626487438,3.0245838165283203,CÁLIDO (≥ p90)
AMAZONAS,BAGUA,LA PECA,18.83405113220215,16.3792724609375,20.363309860229492,1.5083640749576368,3.0242008209228537,INTERMEDIO (p10–p90)
TUMBES,ZARUMILLA,MATAPALO,20.668941497802734,19.609556198120117,21.97174072265625,0.7090641101582627,1.6825714111328125,CÁLIDO (≥ p90)
TUMBES,TUMBES,LA CRUZ,22.102559407552082,22.056772232055664,22.1850643157959,0.05845675654981409,0.10263366699219034,CÁLIDO (≥ p90)
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,12.313233375549316,12.306057929992676,12.320408821105957,0.007175445556640625,0.011480712890623579,INTERMEDIO (p10–p90)
CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,12.664168039957682,11.679400444030762,13.966353416442871,0.9602443117437416,1.8295623779296886,INTERMEDIO (p10–p90)
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,11.809424264090401,10.021958351135254,13.53076457977295,1.1611712492174142,2.8277688980102553,INTERMEDIO (p10–p90)
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12.446319580078125,11.130905151367188,13.10696792602539,0.7130227917087822,1.5621061325073242,INTERMEDIO (p10–p90)
CAJAMARCA,CUTERVO,LA RAMADA,12.952446937561035,12.952446937561035,12.952446937561035,0.0,0.0,INTERMEDIO (p10–p90)
AMAZONAS,LUYA,LONYA CHICO,11.375835418701172,11.375835418701172,11.375835418701172,0.0,0.0,INTERMEDIO (p10–p90)
SAN MARTIN,LAMAS,TABALOSOS,18.820181528727215,17.793781280517578,20.34231948852539,0.7506764558513601,1.7964815139770494,INTERMEDIO (p10–p90)
JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,4.734777927398682,4.734777927398682,4.734777927398682,0.0,0.0,INTERMEDIO (p10–p90)
LIMA,LIMA,SANTA ROSA,,,,,,
JUNIN,JAUJA,ATAURA,,,,,,
LIMA,HUAROCHIRI,CALLAHUANCA,9.670869827270508,7.685558795928955,11.656181335449219,1.985311269760146,3.1764980316162124,INTERMEDIO (p10–p90)
JUNIN,JAUJA,YAUYOS,4.591614246368408,4.591614246368408,4.591614246368408,0.0,0.0,INTERMEDIO (p10–p90)
JUNIN,JAUJA,LLOCLLAPAMPA,2.496704896291097,1.3381704092025757,3.117624282836914,0.8199132407092191,1.4235630989074708,INTERMEDIO (p10–p90)
ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,5.703607559204102,4.454662799835205,7.084451675415039,1.0776503646923616,2.103831100463867,INTERMEDIO (p10–p90)
ANCASH,HUARI,CAJAY,5.5725349426269535,4.419179916381836,7.428353786468506,1.0319111601290474,2.125674533843994,INTERMEDIO (p10–p90)
ANCASH,ANTONIO RAYMONDI,ACZO,6.639331817626953,5.899973392486572,7.378690242767334,0.7393584251403809,1.182973480224609,INTERMEDIO (p10–p90)
HUANUCO,HUAMALIES,MONZON,12.62389605978261,5.303054332733154,18.88473892211914,3.8160847463333702,10.608587265014648,INTERMEDIO (p10–p90)
AMAZONAS,CHACHAPOYAS,MAGDALENA,10.64046859741211,9.093134880065918,11.913379669189453,1.1246945453796147,2.4000346183776866,INTERMEDIO (p10–p90)
AMAZONAS,LUYA,LONGUITA,8.109062194824219,7.5946526527404785,8.623472213745117,0.5144097805023746,0.8230556488037104,INTERMEDIO (p10–p90)
SAN MARTIN,SAN MARTIN,SAN ANTONIO,20.072189331054688,19.863306045532227,20.28107261657715,0.20888328552246094,0.3342132568359375,CÁLIDO (≥ p90)
CAJAMARCA,CHOTA,CHIMBAN,15.634820556640625,14.03515911102295,17.29009437561035,1.0558539951314978,2.2148324966430675,INTERMEDIO (p10–p90)
CAJAMARCA,CHOTA,MIRACOSTA,12.266736348470053,7.196201801300049,16.8802547454834,2.989591017352474,7.485604572296143,INTERMEDIO (p10–p90)
CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,11.710304260253906,10.72048282623291,12.554145812988281,0.755673025214168,1.4669303894042969,INTERMEDIO (p10–p90)
CAJAMARCA,CUTERVO,SOCOTA,10.607330322265625,9.072776794433594,11.968441009521484,0.9520131081069645,2.161663055419922,INTERMEDIO (p10–p90)
AMAZONAS,LUYA,INGUILPATA,10.1509033203125,9.55488109588623,11.450552940368652,0.6919401639670475,1.3804042816162116,INTERMEDIO (p10–p90)
AMAZONAS,CHACHAPOYAS,HUANCAS,13.11331558227539,12.676827430725098,13.5498046875,0.43648862838771163,0.6983818054199205,INTERMEDIO (p10–p90)
SAN MARTIN,SAN MARTIN,PAPAPLAYA,22.1639404296875,21.91925811767578,22.278684616088867,0.08667457936766357,0.19885921478271484,CÁLIDO (≥ p90)
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,12.37582849573206,7.2612175941467285,16.760086059570312,2.779347978933714,7.555226135253905,INTERMEDIO (p10–p90)
SAN MARTIN,LAMAS,PINTO RECODO,18.314988878038193,16.16648292541504,20.911659240722656,1.3339409240761488,3.611568260192872,INTERMEDIO (p10–p90)
LAMBAYEQUE,LAMBAYEQUE,MOTUPE,18.340531122116815,17.51927375793457,18.826757431030273,0.2578813961463023,0.4872283935546875,INTERMEDIO (p10–p90)
CAJAMARCA,CUTERVO,SANTO TOMAS,14.080941336495536,11.383014678955078,17.044198989868164,1.9464308017342338,4.887203216552734,INTERMEDIO (p10–p90)
AMAZONAS,CHACHAPOYAS,CHILIQUIN,11.18832778930664,9.62310791015625,12.758769989013672,1.0677432667487283,2.3757358551025405,INTERMEDIO (p10–p90)
AMAZONAS,BONGARA,CHURUJA,13.3159761428833,13.3159761428833,13.3159761428833,0.0,0.0,INTERMEDIO (p10–p90)
SAN MARTIN,RIOJA,RIOJA,18.28754170735677,16.994409561157227,18.862689971923828,0.6533168432817159,1.353790283203125,INTERMEDIO (p10–p90)
LAMBAYEQUE,FERRENAFE,CANARIS,10.097361755371093,7.751452922821045,11.491868019104004,1.2790592103440659,3.3003924846649175,INTERMEDIO (p10–p90)
CAJAMARCA,CUTERVO,PIMPINGOS,15.24087651570638,13.614603996276855,17.085357666015625,1.1865446514879328,2.793590545654297,INTERMEDIO (p10–p90)
SAN MARTIN,MOYOBAMBA,CALZADA,19.01270802815755,18.871435165405273,19.13312339782715,0.10784686436362749,0.2093505859375,INTERMEDIO (p10–p90)
SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,15.901031494140625,11.918339729309082,19.00705909729004,2.3519663236303066,5.19356689453125,INTERMEDIO (p10–p90)
SAN MARTIN,LAMAS,CAYNARACHI,21.570756392045453,19.03203773498535,22.742965698242188,0.9405965524524331,2.106826972961425,CÁLIDO (≥ p90)
AMAZONAS,UTCUBAMBA,LONYA GRANDE,15.748331705729166,11.734322547912598,18.758258819580078,2.1741913430711524,5.6017450332641605,INTERMEDIO (p10–p90)
AMAZONAS,BONGARA,SAN CARLOS,13.543607076009115,11.211718559265137,15.628776550292969,1.8116756586946494,3.5336463928222663,INTERMEDIO (p10–p90)
LORETO,REQUENA,ALTO TAPICHE,21.951303842905407,20.991323471069336,22.58684730529785,0.3384550397622298,0.8431472778320312,CÁLIDO (≥ p90)
AMAZONAS,CHACHAPOYAS,ASUNCION,10.384551048278809,10.203448295593262,10.565653800964355,0.18110275268554688,0.289764404296875,INTERMEDIO (p10–p90)
AMAZONAS,CHACHAPOYAS,OLLEROS,9.328172047932943,7.664513111114502,11.270121574401855,1.4850785544986638,2.8844867706298833,INTERMEDIO (p10–p90)
SAN MARTIN,RIOJA,POSIC,19.056143442789715,18.77121353149414,19.239702224731445,0.20425096764284573,0.3747909545898409,INTERMEDIO (p10–p90)
AMAZONAS,UTCUBAMBA,YAMON,16.313919067382812,14.049199104309082,19.447460174560547,2.212938691868352,4.932005500793457,INTERMEDIO (p10–p90)
AMAZONAS,CONDORCANQUI,NIEVA,21.343158359945257,16.682729721069336,22.71477699279785,1.3370591457991101,3.0355068206787124,CÁLIDO (≥ p90)
LORETO,DATEM DEL MARANON,MANSERICHE,21.781986595219017,18.050151824951172,23.02973747253418,1.226616479180095,2.8068031311035178,CÁLIDO (≥ p90)
LORETO,MARISCAL RAMON CASTILLA,YAVARI,22.686692097547976,22.373746871948242,23.24785041809082,0.15988269671917216,0.4287921905517571,CÁLIDO (≥ p90)
LORETO,LORETO,PARINARI,22.598791418938514,22.140419006347656,22.8533935546875,0.14461000926715709,0.36397743225097656,CÁLIDO (≥ p90)
AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,9.046226501464844,8.040581703186035,10.607893943786621,0.8389098234863377,1.9714916229248054,INTERMEDIO (p10–p90)
SAN MARTIN,MOYOBAMBA,MOYOBAMBA,18.205900345725574,15.664258003234863,19.33698844909668,0.8947654677761336,2.1930904388427734,INTERMEDIO (p10–p90)
LORETO,DATEM DEL MARANON,BARRANCA,21.24723840932377,16.256406784057617,23.06297492980957,1.9919792704210684,4.920153427124024,CÁLIDO (≥ p90)
AMAZONAS,UTCUBAMBA,CUMBA,17.443033854166668,13.018776893615723,20.27307891845703,2.053586072718248,4.145184135437013,INTERMEDIO (p10–p90)
PIURA,SECHURA,CRISTO NOS VALGA,19.45981216430664,19.204870223999023,19.749313354492188,0.17945636858775674,0.4644693374633775,CÁLIDO (≥ p90)
PIURA,SECHURA,RINCONADA LLICUAR,,,,,,
PIURA,HUANCABAMBA,HUARMACA,15.175697326660156,10.545266151428223,18.962575912475586,2.341438022130358,5.9626359939575195,INTERMEDIO (p10–p90)
PIURA,SECHURA,BERNAL,19.648494720458984,19.556583404541016,19.72005271911621,0.06132866238530452,0.12954502105712962,CÁLIDO (≥ p90)
PIURA,SECHURA,BELLAVISTA DE LA UNION,19.800073623657227,19.800073623657227,19.800073623657227,0.0,0.0,CÁLIDO (≥ p90)
PIURA,PIURA,EL TALLAN,19.492895126342773,19.411001205444336,19.63025665283203,0.0892298270917719,0.18267211914062287,CÁLIDO (≥ p90)
PIURA,SECHURA,VICE,19.44960457938058,18.97185707092285,19.84950065612793,0.3253045707500673,0.782574081420897,INTERMEDIO (p10–p90)
PIURA,HUANCABAMBA,SAN MIGUEL DE EL FAIQUE,16.41780662536621,10.14762020111084,19.883319854736328,3.1611794905756336,7.045608711242677,INTERMEDIO (p10–p90)
PIURA,PIURA,CURA MORI,19.451633998325892,19.317485809326172,19.637956619262695,0.09761787011456395,0.2198314666748047,CÁLIDO (≥ p90)
PIURA,HUANCABAMBA,SONDORILLO,11.120489756266275,9.047436714172363,12.955269813537598,1.1898805726674275,2.5204949378967285,INTERMEDIO (p10–p90)
PIURA,MORROPON,SALITRAL,18.817670320209704,17.901790618896484,19.645132064819336,0.531037396986604,1.4929847717285156,INTERMEDIO (p10–p90)
PIURA,HUANCABAMBA,SONDOR,13.034237948330967,10.879639625549316,14.684813499450684,1.0821758200762894,2.9639949798583984,INTERMEDIO (p10–p90)
PIURA,PIURA,LA UNION,19.40413581000434,18.753173828125,19.76831817626953,0.31956603106942144,0.7995468139648416,INTERMEDIO (p10–p90)
PIURA,PIURA,LA ARENA,19.562503814697266,19.411561965942383,19.71413230895996,0.09549354337936772,0.20285701751708984,CÁLIDO (≥ p90)
ANCASH,HUARAZ,TARICA,4.178647359212239,1.817573070526123,6.834171295166016,2.0585739097321443,4.013278579711914,INTERMEDIO (p10–p90)
